Time;RPM;Generator Frequency;Generator Output;Generator Power Factor
06/08/2023 07:32;0;0;0;0
06/08/2023 07:32;0;0;0;0
06/08/2023 07:32;570;9,5;0;0
06/08/2023 07:32;2987;49,78333;0;0
06/08/2023 07:32;2996;49,93333;0;0
06/08/2023 07:32;2996;49,93333;0;0
06/08/2023 07:32;2996;49,93333;0;0
06/08/2023 07:32;2996;49,93333;0;0
06/08/2023 07:32;2997;49,95;0;0
06/08/2023 07:32;2998;49,96667;0;0
06/08/2023 07:32;2999;49,98333;0;0
06/08/2023 07:32;3000;50;0;0
06/08/2023 07:32;3000;50;0;0
06/08/2023 07:32;3002;50,03333;0;0
06/08/2023 07:32;3002;50,03333;0;0
06/08/2023 07:32;3002;50,03333;0;0
06/08/2023 07:32;3002;50,03333;0;0
06/08/2023 07:32;2961;49,35;15;1
06/08/2023 07:32;2961;49,35;15;1
06/08/2023 07:32;2961;49,35;15;1
06/08/2023 07:32;2961;49,35;15;1
06/08/2023 07:32;2961;49,35;15;1
06/08/2023 07:32;2961;49,35;15;1
06/08/2023 07:32;2966;49,43333;15;1
06/08/2023 07:32;2973;49,55;15;1
06/08/2023 07:32;2980;49,66667;15;1
06/08/2023 07:32;2988;49,8;15;1
06/08/2023 07:32;2996;49,93333;15;1
06/08/2023 07:32;2998;49,96667;15;1
06/08/2023 07:32;3000;50;15;1
06/08/2023 07:32;3000;50;15;1
06/08/2023 07:32;3000;50;15;1
06/08/2023 07:32;3000;50;15;1
06/08/2023 07:32;3000;50;15;1
06/08/2023 07:32;3000;50;15;1
06/08/2023 07:33;3000;50;15;1
06/08/2023 07:33;3000;50;15;1
06/08/2023 07:33;3000;50;15;1
06/08/2023 07:33;3000;50;15;1
06/08/2023 07:33;3000;50;15;1
06/08/2023 07:33;2960;49,33333;16;1
06/08/2023 07:33;2910;48,5;17;1
06/08/2023 07:33;2860;47,66667;18;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2760;46;20;1
06/08/2023 07:33;2763;46,05;20;1
06/08/2023 07:33;2770;46,16667;20;1
06/08/2023 07:33;2778;46,3;20;1
06/08/2023 07:33;2786;46,43333;20;1
06/08/2023 07:33;2793;46,55;20;1
06/08/2023 07:33;2801;46,68333;20;1
06/08/2023 07:33;2808;46,8;20;1
06/08/2023 07:33;2816;46,93333;20;1
06/08/2023 07:33;2822;47,03333;20;1
06/08/2023 07:33;2828;47,13334;20;1
06/08/2023 07:33;2834;47,23333;20;1
06/08/2023 07:33;2842;47,36666;20;1
06/08/2023 07:33;2846;47,43333;20;1
06/08/2023 07:33;2853;47,55;20;1
06/08/2023 07:33;2859;47,65;20;1
06/08/2023 07:33;2866;47,76667;20;1
06/08/2023 07:33;2873;47,88334;20;1
06/08/2023 07:33;2879;47,98333;20;1
06/08/2023 07:33;2887;48,11666;20;1
06/08/2023 07:33;2894;48,23333;20;1
06/08/2023 07:33;2900;48,33333;20;1
06/08/2023 07:33;2908;48,46667;20;1
06/08/2023 07:33;2914;48,56667;20;1
06/08/2023 07:33;2921;48,68333;20;1
06/08/2023 07:33;2928;48,8;20;1
06/08/2023 07:33;2934;48,9;20;1
06/08/2023 07:33;2939;48,98333;20;1
06/08/2023 07:33;2942;49,03333;20;1
06/08/2023 07:34;2950;49,16667;20;1
06/08/2023 07:34;2958;49,3;20;1
06/08/2023 07:34;2965;49,41667;20;1
06/08/2023 07:34;2972;49,53333;20;1
06/08/2023 07:34;2979;49,65;20;1
06/08/2023 07:34;2984;49,73333;20;1
06/08/2023 07:34;2990;49,83333;20;1
06/08/2023 07:34;2996;49,93333;20;1
06/08/2023 07:34;2998;49,96667;20;1
06/08/2023 07:34;3000;50;20;1
06/08/2023 07:34;3000;50;20;1
06/08/2023 07:34;3000;50;20;1
06/08/2023 07:34;3000;50;20;1
06/08/2023 07:34;3000;50;20;1
06/08/2023 07:34;3000;50;20;1
06/08/2023 07:34;3000;50;20;1
06/08/2023 07:34;3000;50;20;1
06/08/2023 07:34;3000;50;20;1
06/08/2023 07:34;3000;50;20;1
06/08/2023 07:34;3000;50;20;1
06/08/2023 07:34;3000;50;20;1
06/08/2023 07:34;3000;50;20;1
