Time,RPM,Generator Frequency,Generator Output,Generator Power Factor
06/08/2023 10:54:21,3011,50.18333,0,NaN
06/08/2023 10:54:22,3011,50.18333,0,NaN
06/08/2023 10:54:23,2961,49.35,1,1
06/08/2023 10:54:24,2961,49.35,1,1
06/08/2023 10:54:25,2961,49.35,1,1
06/08/2023 10:54:26,2961,49.35,1,1
06/08/2023 10:54:27,2961,49.35,1,1
06/08/2023 10:54:28,2961,49.35,1,1
06/08/2023 10:54:29,2961,49.35,1,1
06/08/2023 10:54:30,2961,49.35,1,1
06/08/2023 10:54:31,2961,49.35,1,1
06/08/2023 10:54:32,2961,49.35,1,1
06/08/2023 10:54:33,2961,49.35,1,1
06/08/2023 10:54:34,2961,49.35,1,1
06/08/2023 10:54:35,2964,49.4,1,1
06/08/2023 10:54:36,2966,49.43333,1,1
06/08/2023 10:54:37,2967,49.45,1,1
06/08/2023 10:54:38,2972,49.53333,1,1
06/08/2023 10:54:39,2977,49.61666,1,1
06/08/2023 10:54:40,2983,49.71667,1,1
06/08/2023 10:54:41,2990,49.83333,1,1
06/08/2023 10:54:42,2996,49.93333,1,1
06/08/2023 10:54:43,2999,49.98333,1,1
06/08/2023 10:54:44,3000,50,1,1
06/08/2023 10:54:45,3000,50,1,1
06/08/2023 10:54:46,3000,50,1,1
06/08/2023 10:54:47,3000,50,1,1
06/08/2023 10:54:48,3000,50,1,1
06/08/2023 10:54:49,3000,50,1,1
06/08/2023 10:54:50,3000,50,1,1
06/08/2023 10:54:51,2960,49.33333,2,1
06/08/2023 10:54:52,2960,49.33333,2,1
06/08/2023 10:54:53,2960,49.33333,2,1
06/08/2023 10:54:54,2960,49.33333,2,1
06/08/2023 10:54:55,2960,49.33333,2,1
06/08/2023 10:54:56,2967,49.45,2,1
06/08/2023 10:54:57,2974,49.56667,2,1
06/08/2023 10:54:58,2978,49.63334,2,1
06/08/2023 10:54:59,2979,49.65,2,1
06/08/2023 10:55:00,2982,49.7,2,1
06/08/2023 10:55:01,2986,49.76667,2,1
06/08/2023 10:55:02,2988,49.8,2,1
06/08/2023 10:55:03,2992,49.86666,2,1
06/08/2023 10:55:04,2994,49.9,2,1
06/08/2023 10:55:05,2997,49.95,2,1
06/08/2023 10:55:06,2999,49.98333,2,1
06/08/2023 10:55:07,3000,50,2,1
06/08/2023 10:55:08,3000,50,2,1
06/08/2023 10:55:09,3000,50,2,1
06/08/2023 10:55:10,3000,50,2,1
06/08/2023 10:55:11,3000,50,2,1
06/08/2023 10:55:12,3000,50,2,1
06/08/2023 10:55:13,2960,49.33333,3,1
06/08/2023 10:55:14,2960,49.33333,3,1
06/08/2023 10:55:15,2960,49.33333,3,1
06/08/2023 10:55:16,2960,49.33333,3,1
06/08/2023 10:55:17,2960,49.33333,3,1
06/08/2023 10:55:18,2960,49.33333,3,1
06/08/2023 10:55:19,2967,49.45,3,1
06/08/2023 10:55:20,2972,49.53333,3,1
06/08/2023 10:55:21,2976,49.6,3,1
06/08/2023 10:55:22,2977,49.61666,3,1
06/08/2023 10:55:23,2978,49.63334,3,1
06/08/2023 10:55:24,2986,49.76667,3,1
06/08/2023 10:55:25,2993,49.88334,3,1
06/08/2023 10:55:26,2998,49.96667,3,1
06/08/2023 10:55:27,3000,50,3,1
06/08/2023 10:55:28,3000,50,3,1
06/08/2023 10:55:29,3000,50,3,1
06/08/2023 10:55:30,3000,50,3,1
06/08/2023 10:55:31,3000,50,3,1
06/08/2023 10:55:32,3000,50,3,1
06/08/2023 10:55:33,3000,50,3,1
06/08/2023 10:55:34,3000,50,3,1
06/08/2023 10:55:35,3000,50,3,1
06/08/2023 10:55:36,3000,50,3,1
06/08/2023 10:55:37,3000,50,3,1
06/08/2023 10:55:38,3000,50,3,1
06/08/2023 10:55:39,3000,50,3,1
06/08/2023 10:55:40,3000,50,3,1
06/08/2023 10:55:41,3000,50,3,1
