Time,RPM,Generator Output,Generator Reactive Power,Generator Power Factor,Frequency,Field Current
13/08/2023 03:44:28,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:44:31,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:44:32,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:44:33,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:44:34,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:44:35,2999.005,5,0,1,49.98342,1386
13/08/2023 03:44:36,2997.826,8,0,1,49.96381,1386
13/08/2023 03:44:37,2996.667,11,0,1,49.94457,1386
13/08/2023 03:44:38,2995.412,14,0,1,49.92356,1386
13/08/2023 03:44:39,2994.164,18,0,1,49.9034,1386
13/08/2023 03:44:40,2992.727,21,0,1,49.87902,1386
13/08/2023 03:44:41,2991.444,24,0,1,49.85749,1386
13/08/2023 03:44:42,2990.207,28,0,1,49.8368,1386
13/08/2023 03:44:43,2988.655,31,0,1,49.81102,1386
13/08/2023 03:44:44,2987.406,34,0,1,49.79012,1386
13/08/2023 03:44:45,2985.927,38,0,1,49.76569,1386
13/08/2023 03:44:46,2984.633,41,0,1,49.74394,1386
13/08/2023 03:44:47,2983.158,45,0,1,49.7196,1386
13/08/2023 03:44:48,2981.822,48,0,1,49.69707,1386
13/08/2023 03:44:49,2980.529,52,0,1,49.6761,1386
13/08/2023 03:44:50,2979.024,55,0,1,49.65044,1386
13/08/2023 03:44:51,2977.429,59,0,1,49.62388,1386
13/08/2023 03:44:52,2976.016,63,0,1,49.60067,1386
13/08/2023 03:44:53,2974.621,66,0,1,49.57706,1386
13/08/2023 03:44:54,2973.076,70,0,1,49.5514,1386
13/08/2023 03:44:55,2971.543,74,0,1,49.52599,1386
13/08/2023 03:44:56,2970.073,78,0,1,49.50172,1386
13/08/2023 03:44:57,2968.627,82,0,1,49.47716,1386
13/08/2023 03:44:58,2967.029,85,0,1,49.45054,1386
13/08/2023 03:44:59,2965.462,89,0,1,49.42448,1386
13/08/2023 03:45:00,2963.856,93,0,1,49.3977,1386
13/08/2023 03:45:01,2962.377,97,0,1,49.37327,1386
13/08/2023 03:45:02,2960.87,101,0,1,49.34834,1386
13/08/2023 03:45:03,2959.429,104,0,1,49.32387,1386
13/08/2023 03:45:04,2957.855,108,0,1,49.29768,1386
13/08/2023 03:45:05,2957.001,110,0,1,49.28335,1386
13/08/2023 03:45:06,2957.001,110,0,1,49.28335,1386
13/08/2023 03:45:07,2957.001,110,0,1,49.28335,1386
13/08/2023 03:45:08,2957.001,110,0,1,49.28335,1386
13/08/2023 03:45:09,2957.001,110,0,1,49.28335,1386
13/08/2023 03:45:10,2955.958,113,0,1,49.26626,1386
13/08/2023 03:45:11,2954.613,116,0,1,49.24357,1386
13/08/2023 03:45:12,2953.019,120,0,1,49.21703,1386
13/08/2023 03:45:13,2951.429,124,0,1,49.19055,1386
13/08/2023 03:45:14,2950.016,128,0,1,49.16732,1386
13/08/2023 03:45:15,2948.303,132,0,1,49.13858,1386
13/08/2023 03:45:16,2945.54,139,0,1,49.09259,1386
13/08/2023 03:45:17,2942.937,146,0,1,49.04956,1386
13/08/2023 03:45:18,2940.099,153,0,1,49.00221,1386
13/08/2023 03:45:19,2937.379,160,0,1,48.95702,1386
13/08/2023 03:45:20,2934.817,166,0,1,48.91402,1386
13/08/2023 03:45:21,2932.446,172,0,1,48.87456,1386
13/08/2023 03:45:22,2930.234,178,0,1,48.8373,1386
13/08/2023 03:45:23,2927.897,183,0,1,48.79847,1386
13/08/2023 03:45:24,2925.591,189,0,1,48.7602,1386
13/08/2023 03:45:25,2923.33,195,0,1,48.72277,1386
