Time;RPM;Generator Output;Generator Reactive Power;Generator Power Factor;Frequency;Field Current
15/08/2023 20:51;0;0;0;0;0;0
15/08/2023 20:51;0;0;0;0;0;0
15/08/2023 20:51;3000;0;0;0;50;0
15/08/2023 20:51;3000;0;0;0;50;0
15/08/2023 20:51;3000,601;1;0;1;50,01002;1386
15/08/2023 20:51;3000,601;1;0;1;50,01002;1386
15/08/2023 20:51;3000,201;2;0;1;50,00335;1386
15/08/2023 20:51;3000,201;2;0;1;50,00335;1386
15/08/2023 20:51;2999,802;3;0;1;49,9967;1386
15/08/2023 20:51;2999,663;4;0;1;49,99487;1386
15/08/2023 20:51;2999,401;4;0;1;49,99001;1386
15/08/2023 20:51;2999,401;4;0;1;49,99001;1386
15/08/2023 20:52;3000,001;5;0;1;50,00002;1386
15/08/2023 20:52;2999,601;6;0;1;49,99335;1386
15/08/2023 20:52;2999,201;7;0;1;49,98668;1386
15/08/2023 20:52;2998,801;8;0;1;49,98002;1386
15/08/2023 20:52;2998,801;8;0;1;49,98002;1386
15/08/2023 20:52;2998,801;8;0;1;49,98002;1386
15/08/2023 20:52;2999,72;8;0;1;49,99519;1386
15/08/2023 20:52;2999,799;8;0;1;49,99665;1386
15/08/2023 20:52;2999,799;8;0;1;49,99665;1386
15/08/2023 20:52;2999,799;8;0;1;49,99665;1386
15/08/2023 20:52;2999,799;8;0;1;49,99665;1386
15/08/2023 20:52;3000,799;8;0;1;50,01332;1386
15/08/2023 20:52;3000,603;11;0;1;50,01005;1386
15/08/2023 20:52;3000,34;12;0;1;50,00592;1386
15/08/2023 20:52;3000,201;12;0;1;50,00335;1386
15/08/2023 20:52;2999,801;13;0;1;49,99669;1386
15/08/2023 20:52;2999,401;14;0;1;49,99001;1386
15/08/2023 20:52;2998,755;16;0;1;49,97954;1386
15/08/2023 20:52;2998,201;17;0;1;49,97002;1386
15/08/2023 20:52;2997,46;19;0;1;49,95778;1386
15/08/2023 20:53;3000,999;20;0;1;50,01665;1386
15/08/2023 20:53;3000,999;20;0;1;50,01665;1386
